,bike_name,price,kms_driven,owner,age,power,brand
11537,Bajaj Avenger Street,55005.0,6600.0,First Owner,5.0,220.0,Bajaj
11538,Royal Enfield Classic,87000.0,16336.0,First Owner,7.0,350.0,Royal Enfield
11539,Royal Enfield Thunderbird,70000.0,13858.0,Second Owner,11.0,350.0,Royal Enfield
11540,Suzuki Zeus 125cc,35000.0,11885.0,First Owner,12.0,125.0,Suzuki
11541,Bajaj Pulsar 150cc,25000.0,32588.0,First Owner,9.0,150.0,Bajaj
11542,Hero Passion Pro,32000.0,12000.0,First Owner,6.0,100.0,Hero
11543,Bajaj Avenger 220cc,41000.0,20245.0,Second Owner,11.0,220.0,Bajaj
11544,Hero Passion 100cc,15000.0,35000.0,Second Owner,19.0,100.0,Hero
11545,Hero Passion Pro,39000.0,22000.0,First Owner,4.0,100.0,Hero
11546,TVS Apache RTR,30000.0,6639.0,First Owner,9.0,180.0,TVS
11547,Bajaj Avenger Street,60000.0,20373.0,First Owner,6.0,220.0,Bajaj
11548,Hero Super Splendor,15600.0,84186.0,First Owner,16.0,125.0,Hero
11549,Bajaj Pulsar 150cc,22000.0,60857.0,First Owner,13.0,150.0,Bajaj
11550,Bajaj Platina 100cc,23000.0,20000.0,First Owner,6.0,100.0,Bajaj
11551,Suzuki Slingshot Plus,32000.0,22697.0,First Owner,7.0,125.0,Suzuki
11552,Yamaha SZ-RR 150cc,20000.0,52000.0,First Owner,10.0,150.0,Yamaha
11553,Bajaj Avenger Street,55005.0,6600.0,First Owner,5.0,220.0,Bajaj
11554,Royal Enfield Classic,87000.0,16336.0,First Owner,7.0,350.0,Royal Enfield
11555,Royal Enfield Thunderbird,70000.0,13858.0,Second Owner,11.0,350.0,Royal Enfield
11556,Suzuki Zeus 125cc,35000.0,11885.0,First Owner,12.0,125.0,Suzuki
